SOURCE: https://en.wikipedia.org/wiki/List_of_formations_of_the_United_States_Army_during_World_War_II
1st Armored Division
2nd Armored Division
3rd Armored Division
4th Armored Division
5th Armored Division
6th Armored Division
7th Armored Division
8th Armored Division
9th Armored Division
10th Armored Division
Tiger Division
11th Armored Division
12th Armored Division
13th Armored Division
14th Armored Division
15th Armored Division
16th Armored Division
18th Armored Division
19th Armored Division
20th Armored Division
21st Armored Division
22nd Armored Division
39th Armored Division
