SOURCE: https://en.wikipedia.org/wiki/List_of_formations_of_the_United_States_Army_during_World_War_II
1st Infantry Division
2nd Infantry Division
3rd Infantry Division
4th Infantry Division
5th Infantry Division
6th Infantry Division
7th Infantry Division
8th Infantry Division
9th Infantry Division
11th Infantry Division
14th Infantry Division
22nd Infantry Division
24th Infantry Division
25th Infantry Division
26th Infantry Division
27th Infantry Division
28th Infantry Division
29th Infantry Division
30th Infantry Division
31st Infantry Division
32nd Infantry Division
33rd Infantry Division
34th Infantry Division
35th Infantry Division
36th Infantry Division
37th Infantry Division
38th Infantry Division
40th Infantry Division
41st Infantry Division
42nd Infantry Division
43rd Infantry Division
44th Infantry Division
45th Infantry Division
46th Infantry Division
48th Infantry Division
50th Infantry Division
55th Infantry Division
59th Infantry Division
61st Infantry Division
62nd Infantry Division
63rd Infantry Division
65th Infantry Division
66th Infantry Division
67th Infantry Division
68th Infantry Division
69th Infantry Division
70th Infantry Division
71st Infantry Division
72nd Infantry Division
73rd Infantry Division
74th Infantry Division
75th Infantry Division
76th Infantry Division
77th Infantry Division
78th Infantry Division
79th Infantry Division
80th Infantry Division
81st Infantry Division
83rd Infantry Division
84th Infantry Division
85th Infantry Division
86th Infantry Division
87th Infantry Division
88th Infantry Division
89th Infantry Division
90th Infantry Division
91st Infantry Division
92nd Infantry Division
93rd Infantry Division
94th Infantry Division
95th Infantry Division
96th Infantry Division
97th Infantry Division
98th Infantry Division
99th Infantry Division
100th Infantry Division
102nd Infantry Division
103rd Infantry Division
104th Infantry Division
105th Infantry Division
106th Infantry Division
107th Infantry Division
108th Infantry Division
109th Infantry Division
112th Infantry Division
119th Infantry Division
125th Infantry Division
130th Infantry Division
141st Infantry Division
157th Infantry Division
Americal Division
Philippine Division
